CompanyName	Value(1000s)	Shares	OrderType
COLLIERS INTL GROUP INC	2540	53795	Market
COLUMBIA BKG SYS INC	12998	333366	Market
COLUMBIA PPTY TR INC	8454	379958	Market
COLUMBIA SPORTSWEAR CO	13660	232510	Market
COLUMBUS MCKINNON CORP N Y	1418	57140	Market
COMCAST CORP NEW	164529	4376942	Market
COMCAST CORP NEW	8071	214700	Call
COMCAST CORP NEW	21562	573600	Put
COMERICA INC	30828	449514	Market
COMERICA INC	411	6000	Call
COMFORT SYS USA INC	5341	145739	Market
COMMERCEHUB INC	1398	90017	Market
COMMERCIAL METALS CO	524	27406	Market
COMMERCIAL VEH GROUP INC	1362	201246	Market
COMMSCOPE HLDG CO INC	45706	1095813	Market
COMMUNITY HEALTH SYS INC NEW	5686	641009	Market
COMMUNITY HEALTHCARE TR INC	1838	76884	Market
COMMVAULT SYSTEMS INC	2966	58379	Market
COMPANHIA BRASILEIRA DE DIST	2683	139714	Market
COMPANHIA ENERGETICA DE MINA	210	63920	Market
COMPANHIA PARANAENSE ENERG C	134	13006	Market
COMPASS DIVERSIFIED HOLDINGS	5476	329889	Market
COMPUTER SCIENCES CORP	33285	482315	Market
COMTECH TELECOMMUNICATIONS C	4070	276149	Market
CONAGRA BRANDS INC	15285	378909	Market
CONCERT PHARMACEUTICALS INC	834	48900	Market
CONCHO RES INC	642	5000	Call
CONCHO RES INC	642	5000	Put
CONDUENT INC	8917	531391	Market
CONNECTONE BANCORP INC NEW	1459	60169	Market
CONOCOPHILLIPS	6319	126700	Call
CONOCOPHILLIPS	7949	159400	Put
CONSOL ENERGY INC	18673	1112832	Market
CONSOLIDATED COMM HLDGS INC	6445	275182	Market
CONSOLIDATED EDISON INC	1055	13585	Market
CONSOLIDATED EDISON INC	2485	32000	Call
CONSOLIDATED EDISON INC	11199	144200	Put
CONSOLIDATED WATER CO INC	428	36743	Market
CONSTELLATION BRANDS INC	843	5200	Call
CONSTELLATION BRANDS INC	648	4000	Put
CONSTELLIUM NV	177	27227	Market
CONTAINER STORE GROUP INC	516	122093	Market
CONTINENTAL BLDG PRODS INC	5339	217919	Market
CONTINENTAL RESOURCES INC	12653	278579	Market
CONTINENTAL RESOURCES INC	1045	23000	Call
CONTINENTAL RESOURCES INC	1136	25000	Put
CONTROL4 CORP	3462	219241	Market
CONVERGYS CORP	14469	684126	Market
COOPER COS INC	5997	30001	Market
COOPER STD HLDGS INC	6163	55555	Market
COPA HOLDINGS SA	44978	400693	Market
COPA HOLDINGS SA	674	6000	Call
COPA HOLDINGS SA	561	5000	Put
CORCEPT THERAPEUTICS INC	2005	182929	Market
CORE LABORATORIES N V	832	7200	Call
CORE LABORATORIES N V	1028	8900	Put
CORE MARK HOLDING CO INC	606	19431	Market
CORE MOLDING TECHNOLOGIES IN	733	41090	Market
CORECIVIC INC	27313	869296	Market
CORECIVIC INC	572	18200	Call
CORECIVIC INC	320	10200	Put
CORELOGIC INC	12674	311242	Market
CORESITE RLTY CORP	5147	57155	Market
CORNERSTONE ONDEMAND INC	26186	673327	Market
CORNING INC	518	19201	Market
CORNING INC	497	18400	Put
CORVEL CORP	1881	43247	Market
COSAN LTD	8303	972219	Market
COSTAMARE INC	2161	324425	Market
COSTAR GROUP INC	1324	6390	Market
COSTCO WHSL CORP NEW	838	5000	Put
COTIVITI HLDGS INC	11871	285159	Market
COTT CORP QUE	12409	1004004	Market
COTY INC	199	10962	Market
COTY INC	682	37600	Call
COTY INC	578	31900	Put
COVANTA HLDG CORP	15408	981402	Market
COVENANT TRANSN GROUP INC	1135	60355	Market
COWEN GROUP INC NEW	541	36170	Market
CPI CARD GROUP INC	237	56347	Market
CRA INTL INC	1646	46577	Market
CRACKER BARREL OLD CTRY STOR	4438	27869	Market
CRANE CO	18605	248631	Market
CRAWFORD & CO	400	39870	Market
CRAY INC	1718	78447	Market
CREDICORP LTD	15807	96797	Market
CREDIT ACCEP CORP MICH	598	3000	Call
CREDIT ACCEP CORP MICH	399	2000	Put
CREDIT SUISSE GROUP	8161	549934	Market
CREE INC	5292	197984	Market
CRH MEDICAL CORP	2224	271800	Market
CRH PLC	1135	32273	Market
CROCS INC	4615	652722	Market
CROWN CASTLE INTL CORP NEW	6507	68897	Market
CROWN CASTLE INTL CORP NEW	2371	25100	Call
CROWN CASTLE INTL CORP NEW	2229	23600	Put
CROWN HOLDINGS INC	27088	511575	Market
CSRA INC	22733	776123	Market
CST BRANDS INC	7517	156321	Market
CSW INDUSTRIALS INC	1663	45300	Market
CSX CORP	5283	113497	Market
CSX CORP	680	14600	Call
CTS CORP	518	24324	Market
CU BANCORP CALIF	941	23730	Market
CUBESMART	3204	123417	Market
CUBIC CORP	248	4697	Market
CULLEN FROST BANKERS INC	2075	23327	Market
CULP INC	311	9974	Market
CUMMINS INC	21695	143487	Market
CUMMINS INC	1905	12600	Call
CUMMINS INC	605	4000	Put
CURIS INC	208	74702	Market
CURTISS WRIGHT CORP	2846	31186	Market
CUSTOMERS BANCORP INC	2075	65819	Market
CUTERA INC	1523	73596	Market
CVS HEALTH CORP	20322	258873	Market
CVS HEALTH CORP	11579	147500	Call
CVS HEALTH CORP	20159	256800	Put
CYBERARK SOFTWARE LTD	1323	26002	Market
CYPRESS SEMICONDUCTOR CORP	2805	203844	Market
CYRUSONE INC	206	4000	Call
CYS INVTS INC	4068	511674	Market
CYTOKINETICS INC	2331	181418	Market
CYTOMX THERAPEUTICS INC	238	13762	Market
D R HORTON INC	9469	284260	Market
D R HORTON INC	433	13000	Put
DAKTRONICS INC	2842	300749	Market
DANAHER CORP DEL	1181	13809	Market
DARDEN RESTAURANTS INC	76729	917045	Market
DARDEN RESTAURANTS INC	2000	23900	Call
DARDEN RESTAURANTS INC	3288	39300	Put
DARLING INGREDIENTS INC	7860	541338	Market
DATAWATCH CORP	1228	146163	Market
DAVE & BUSTERS ENTMT INC	244	4000	Call
DAVITA INC	10621	156262	Market
DAVITA INC	340	5000	Call
DAVITA INC	340	5000	Put
DDR CORP	62694	5003551	Market
DEAN FOODS CO NEW	8795	447377	Market
DEERE & CO	40756	374386	Market
DEERE & CO	1415	13000	Call
DEERE & CO	2068	19000	Put
DEL FRISCOS RESTAURANT GROUP	3772	209002	Market
DEL TACO RESTAURANTS INC	904	68160	Market
DELEK US HLDGS INC	2187	90120	Market
DELL TECHNOLOGIES INC	51618	805524	Market
DELPHI AUTOMOTIVE PLC	443	5501	Market
DELTA AIR LINES INC DEL	13453	292708	Market
DELTA AIR LINES INC DEL	2523	54900	Call
DELTA AIR LINES INC DEL	3240	70500	Put
DENNYS CORP	2012	162690	Market
DENTSPLY SIRONA INC	20216	323773	Market
DEPOMED INC	2016	160653	Market
DERMIRA INC	2436	71406	Market
DESCARTES SYS GROUP INC	5737	250230	Market
DESTINATION XL GROUP INC	164	57380	Market
DEUTSCHE BANK AG	220	12848	Market
DEVON ENERGY CORP NEW	2390	57284	Market
DEVON ENERGY CORP NEW	759	18200	Call
DEVON ENERGY CORP NEW	997	23900	Put
DEXCOM INC	983	11600	Call
DEXCOM INC	2017	23800	Put
DHI GROUP INC	974	246476	Market
DIAMOND OFFSHORE DRILLING IN	13011	778608	Market
DIAMOND OFFSHORE DRILLING IN	545	32600	Call
DIAMOND OFFSHORE DRILLING IN	436	26100	Put
DIAMONDBACK ENERGY INC	1867	18000	Call
DIAMONDBACK ENERGY INC	1141	11000	Put
DIANA SHIPPING INC	210	45504	Market
DIGI INTL INC	1510	126897	Market
DIGITAL RLTY TR INC	6883	64700	Call
DIGITAL RLTY TR INC	5766	54200	Put
DIGITALGLOBE INC	5546	169352	Market
DILLARDS INC	2706	51800	Call
DILLARDS INC	3610	69100	Put
DINEEQUITY INC	958	17596	Market
DIODES INC	2616	108757	Market
DIREXION SHS ETF TR	8428	66700	Market
DIREXION SHS ETF TR	4624	256300	Market
DISCOVER FINL SVCS	506	7400	Call
DISCOVER FINL SVCS	212	3100	Put
DISCOVERY COMMUNICATNS NEW	4287	147365	Market
DISH NETWORK CORP	10639	167571	Market
DISNEY WALT CO	29022	255950	Market
DISNEY WALT CO	15444	136200	Call
DISNEY WALT CO	15024	132500	Put
DMC GLOBAL INC	196	15835	Market
DOLBY LABORATORIES INC	23327	445096	Market
DOLLAR GEN CORP NEW	16839	241489	Market
DOLLAR GEN CORP NEW	230	3300	Call
DOLLAR GEN CORP NEW	432	6200	Put
DOLLAR TREE INC	17605	224381	Market
DOLLAR TREE INC	314	4000	Put
DOMINION DIAMOND CORP	4049	320618	Market
DOMINION RES INC VA NEW	2017	26000	Call
DOMINION RES INC VA NEW	7074	91200	Put
DOMINOS PIZZA INC	115928	629017	Market
DOMINOS PIZZA INC	1567	8500	Call
DOMINOS PIZZA INC	1474	8000	Put
DOMTAR CORP	14418	394789	Market
DONALDSON INC	3703	81347	Market
DONNELLEY R R & SONS CO	6966	575260	Market
DOW CHEM CO	179458	2824328	Market
DR PEPPER SNAPPLE GROUP INC	35707	364653	Market
DRIVE SHACK INC	4369	1052773	Market
DSP GROUP INC	999	83221	Market
DST SYS INC DEL	372	3039	Market
DTE ENERGY CO	1082	10600	Put
DU PONT E I DE NEMOURS & CO	181578	2260407	Market
DUCOMMUN INC DEL	2494	86614	Market
DUKE ENERGY CORP NEW	2676	32636	Market
DUKE ENERGY CORP NEW	4781	58300	Call
DUKE ENERGY CORP NEW	6495	79200	Put
DUN & BRADSTREET CORP DEL NE	5860	54288	Market
DUNKIN BRANDS GROUP INC	32632	596779	Market
DUPONT FABROS TECHNOLOGY INC	10829	218370	Market
DXP ENTERPRISES INC NEW	959	25319	Market
DYCOM INDS INC	4731	50900	Market
DYCOM INDS INC	465	5000	Call
DYCOM INDS INC	465	5000	Put
DYNEGY INC NEW DEL	2736	348141	Market
DYNEX CAP INC	2239	315833	Market
E L F BEAUTY INC	1167	40511	Market
E TRADE FINANCIAL CORP	2905	83273	Market
EAGLE BANCORP INC MD	622	10418	Market
EAST WEST BANCORP INC	6023	116711	Market
EASTERLY GOVT PPTYS INC	5775	291798	Market
EASTGROUP PPTY INC	727	9892	Market
EASTMAN CHEM CO	56697	701693	Market
EASTMAN KODAK CO	340	29526	Market
EBAY INC	141407	4212301	Market
EBAY INC	342	10200	Put
EBIX INC	5842	95381	Market
ECHOSTAR CORP	11298	198384	Market
ECOLAB INC	251	2000	Call
ECOLAB INC	376	3000	Put
EDISON INTL	1393	17500	Call
EDISON INTL	3582	45000	Put
EHEALTH INC	589	48939	Market
EL PASO ELEC CO	279	5515	Market
EL POLLO LOCO HLDGS INC	452	37825	Market
ELBIT SYS LTD	1285	11306	Market
ELDORADO GOLD CORP NEW	1947	571063	Market
ELDORADO RESORTS INC	8355	441490	Market
ELECTRO SCIENTIFIC INDS	782	112236	Market
ELECTRONIC ARTS INC	18293	204347	Market
ELLIE MAE INC	8556	85329	Market
ELLINGTON RESIDENTIAL MTG RE	592	40388	Market
ELLIS PERRY INTL INC	1236	57555	Market
EMBOTELLADORA ANDINA S A	266	11361	Market
EMBRAER S A	18605	842610	Market
EMCORE CORP	1187	131905	Market
EMERSON ELEC CO	51785	865104	Market
EMERSON ELEC CO	599	10000	Call
EMERSON ELEC CO	1077	18000	Put
EMPLOYERS HOLDINGS INC	3212	84638	Market
ENANTA PHARMACEUTICALS INC	538	17473	Market
ENBRIDGE ENERGY MANAGEMENT L	1239	67243	Market
ENBRIDGE INC	29025	693725	Market
ENBRIDGE INC	5305	126800	Call
ENBRIDGE INC	5929	141700	Put
ENCANA CORP	212	18072	Market
ENCORE CAP GROUP INC	1011	32827	Market
ENCORE WIRE CORP	364	7916	Market
ENDO INTL PLC	12663	1134717	Market
ENDOCYTE INC	81	31641	Market
ENDURANCE INTL GROUP HLDGS I	108	13800	Market
ENEL AMERICAS S A	6548	630242	Market
ENEL GENERACION CHILE S A	744	33432	Market
ENERGIZER HLDGS INC NEW	24534	440076	Market
ENERNOC INC	151	25200	Market
ENERSYS	2750	34831	Market
ENGILITY HLDGS INC NEW	765	26429	Market
ENNIS INC	1081	63575	Market
ENOVA INTL INC	2443	164545	Market
ENPRO INDS INC	319	4477	Market
ENSCO PLC	11765	1314515	Market
ENSCO PLC	1102	123100	Call
ENSCO PLC	1485	165900	Put
ENSIGN GROUP INC	455	24216	Market
ENTEGRIS INC	9203	393280	Market
ENTERCOM COMMUNICATIONS CORP	769	53791	Market
ENTERGY CORP NEW	46240	608742	Market
ENTERGY CORP NEW	1018	13400	Call
ENTERGY CORP NEW	2712	35700	Put
ENTERPRISE FINL SVCS CORP	696	16412	Market
ENTRAVISION COMMUNICATIONS C	2883	464963	Market
ENVISION HEALTHCARE CORP	1506	24561	Market
ENZO BIOCHEM INC	1356	162035	Market
EOG RES INC	4478	45900	Call
EOG RES INC	1853	19000	Put
EPAM SYS INC	22890	303095	Market
EPR PPTYS	3431	46599	Market
EQT CORP	7631	124898	Market
EQT CORP	403	6600	Call
EQT CORP	428	7000	Put
EQUIFAX INC	14712	107591	Market
EQUINIX INC	2070	5170	Market
EQUITY BANCSHARES INC	985	31011	Market
EQUITY COMWLTH	5603	179484	Market
EQUITY RESIDENTIAL	26100	419485	Market
EQUITY RESIDENTIAL	8275	133000	Call
EQUITY RESIDENTIAL	12363	198700	Put
ERA GROUP INC	398	30025	Market
ERICSSON	242	36385	Market
EROS INTL PLC	156	15194	Market
ESPERION THERAPEUTICS INC NE	3182	90118	Market
ESSENDANT INC	1779	117444	Market
ESSENT GROUP LTD	8102	224005	Market
ESSEX PPTY TR INC	2547	11000	Call
ESSEX PPTY TR INC	6251	27000	Put
ESTERLINE TECHNOLOGIES CORP	573	6661	Market
EURONET WORLDWIDE INC	22470	262741	Market
EVERBANK FINL CORP	8167	419273	Market
EVERI HLDGS INC	3086	644202	Market
EVERSOURCE ENERGY	1234	21000	Put
EVERTEC INC	3227	202977	Market
EVINE LIVE INC	19	15154	Market
EVOLENT HEALTH INC	4097	183741	Market
EVOLUTION PETROLEUM CORP	562	70195	Market
EXA CORP	262	20600	Market
EXACTECH INC	559	22165	Market
EXAR CORP	1677	128879	Market
EXELIXIS INC	83658	3860531	Market
EXELON CORP	52360	1455241	Market
EXELON CORP	4328	120300	Call
EXELON CORP	5415	150500	Put
EXLSERVICE HOLDINGS INC	5129	108291	Market
EXPEDIA INC DEL	7758	61485	Market
EXPEDIA INC DEL	2523	20000	Call
EXPEDIA INC DEL	4416	35000	Put
EXPONENT INC	1423	23900	Market
EXPRESS INC	6744	740243	Market
EXPRESS INC	173	19000	Call
EXPRESS SCRIPTS HLDG CO	1727	26197	Market
EXPRESS SCRIPTS HLDG CO	461	7000	Put
EXTERRAN CORP	2768	87999	Market
EXTRA SPACE STORAGE INC	2164	29096	Market
EXTREME NETWORKS INC	7025	935414	Market
EXXON MOBIL CORP	66671	812964	Market
EXXON MOBIL CORP	25349	309100	Call
EXXON MOBIL CORP	24185	294900	Put
EZCORP INC	286	35103	Market
F M C CORP	12158	174706	Market
FACEBOOK INC	44139	310727	Market
FACEBOOK INC	29305	206300	Call
FACEBOOK INC	19773	139200	Put
FAIRPOINT COMMUNICATIONS INC	6182	372422	Market
FANHUA INC	775	89843	Market
FARMER BROS CO	314	8895	Market
FARMERS NATL BANC CORP	310	21606	Market
FASTENAL CO	361	7000	Call
FASTENAL CO	464	9000	Put
FBL FINL GROUP INC	922	14088	Market
FBR & CO	348	19297	Market
FCB FINL HLDGS INC	10408	210046	Market
FEDERAL AGRIC MTG CORP	341	5922	Market
FEDERAL REALTY INVT TR	3996	29933	Market
FEDERAL SIGNAL CORP	1106	80106	Market
FEDERATED INVS INC PA	12374	469777	Market
FEDERATED NATL HLDG CO	245	14083	Market
FEDEX CORP	6069	31100	Call
FEDEX CORP	12685	65000	Put
FELCOR LODGING TR INC	2713	361253	Market
FERRARI N V	18707	251578	Market
FERRO CORP	271	17808	Market
FERROGLOBE PLC	213	20578	Market
FIAT CHRYSLER AUTOMOBILES N	1284	117500	Market
FIBRIA CELULOSE S A	525	57422	Market
FIBROGEN INC	1325	53745	Market
FIDELITY NATIONAL FINANCIAL	9252	237588	Market
FIDELITY NATL INFORMATION SV	6462	81157	Market
FIDELITY SOUTHERN CORP NEW	1979	88418	Market
FIDUS INVT CORP	1781	101385	Market
FIFTH STR SR FLOATNG RATE CO	863	97812	Market
FIFTH STREET FINANCE CORP	4680	1012989	Market
FIFTH THIRD BANCORP	241	9500	Call
FIFTH THIRD BANCORP	213	8400	Put
FINANCIAL INSTNS INC	1426	43285	Market
FIRST AMERN FINL CORP	16438	418478	Market
FIRST BANCORP N C	513	17504	Market
FIRST BANCORP P R	9878	1748370	Market
FIRST BUS FINL SVCS INC WIS	300	11574	Market
FIRST CMNTY BANCSHARES INC N	452	18103	Market
FIRST CTZNS BANCSHARES INC N	503	1500	Market
FIRST DATA CORP NEW	66143	4267260	Market
FIRST DEFIANCE FINL CORP	1046	21134	Market
FIRST FINANCIAL NORTHWEST IN	819	46338	Market
FIRST FINL CORP IND	629	13250	Market
FIRST FNDTN INC	1534	98906	Market
FIRST HAWAIIAN INC	20575	687662	Market
FIRST HORIZON NATL CORP	9352	505518	Market
FIRST INTST BANCSYSTEM INC	5995	151207	Market
FIRST LONG IS CORP	398	14707	Market
FIRST MAJESTIC SILVER CORP	774	95300	Call
FIRST MAJESTIC SILVER CORP	643	79200	Put
FIRST MERCHANTS CORP	1266	32207	Market
FIRST POTOMAC RLTY TR	1702	165536	Market
FIRST REP BK SAN FRANCISCO C	1923	20500	Market
FIRST SOLAR INC	16203	597895	Market
FIRSTENERGY CORP	114130	3586748	Market
FIRSTENERGY CORP	8875	278900	Call
FIRSTENERGY CORP	14554	457400	Put
FIRSTSERVICE CORP NEW	9883	163602	Market
FITBIT INC	10697	1806928	Market
FITBIT INC	856	144600	Call
FITBIT INC	417	70400	Put
FIVE BELOW INC	15060	347728	Market
FIVE BELOW INC	1213	28000	Call
FIVE BELOW INC	1815	41900	Put
FIVE OAKS INVT CORP	165	32121	Market
FIVE PRIME THERAPEUTICS INC	1409	38968	Market
FIVE STAR SENIOR LIVING INC	42	19647	Market
FIVE9 INC	9009	547342	Market
FLAGSTAR BANCORP INC	538	19081	Market
FLEETCOR TECHNOLOGIES INC	25120	165883	Market
FLEX LTD	21378	1272529	Market
FLEXION THERAPEUTICS INC	735	27306	Market
FLEXSTEEL INDS INC	487	9666	Market
FLIR SYS INC	9970	274820	Market
FLOWERS FOODS INC	422	21732	Market
FLOWSERVE CORP	291	6006	Market
FLUOR CORP NEW	31722	602844	Market
FLWS/1-800 FLOWERS	204	20011	Market
FLY LEASING LTD	807	61535	Market
FNB CORP PA	1333	89677	Market
FONAR CORP	267	15200	Market
FOOT LOCKER INC	598	8000	Call
FOOT LOCKER INC	1107	14800	Put
FORD MTR CO DEL	2857	245448	Market
FORD MTR CO DEL	2884	247800	Call
FORD MTR CO DEL	5222	448600	Put
FORESTAR GROUP INC	5451	399329	Market
FORMFACTOR INC	186	15704	Market
FORRESTER RESH INC	1488	37428	Market
FORTINET INC	88981	2320226	Market
FORTIS INC	303	9134	Market
FORTIVE CORP	44411	737477	Market
FORTRESS INVESTMENT GROUP LL	2275	286176	Market
FORTUNA SILVER MINES INC	562	107964	Market
FORTUNE BRANDS HOME & SEC IN	31476	517273	Market
FOSSIL GROUP INC	3090	177076	Market
FOSTER L B CO	627	50173	Market
FOUR CORNERS PPTY TR INC	4176	182932	Market
FOX FACTORY HLDG CORP	1200	41825	Market
FRANCO NEVADA CORP	1212	18500	Call
FRANCO NEVADA CORP	1179	18000	Put
FRANKLIN COVEY CO	1034	51206	Market
FRANKLIN FINL NETWORK INC	666	17190	Market
FREEPORT-MCMORAN INC	199	14915	Market
FREEPORT-MCMORAN INC	5964	446400	Call
FREEPORT-MCMORAN INC	7824	585600	Put
FREIGHTCAR AMER INC	664	53001	Market
FRESENIUS MED CARE AG&CO KGA	5476	129978	Market
FRESHPET INC	124	11300	Market
FS INVT CORP	4272	435947	Market
FTI CONSULTING INC	6957	168981	Market
FUTUREFUEL CORPORATION	2119	149449	Market
GAIN CAP HLDGS INC	457	54871	Market
GAMCO INVESTORS INC	854	28845	Market
GAMESTOP CORP NEW	11890	527252	Market
GAMING & LEISURE PPTYS INC	26111	781308	Market
GANNETT CO INC	6609	788640	Market
GAP INC DEL	20885	859816	Market
GAP INC DEL	1163	47900	Call
GAP INC DEL	1579	65000	Put
GARMIN LTD	2397	46903	Market
GARMIN LTD	256	5000	Call
GARRISON CAP INC	687	70240	Market
GARTNER INC	1191	11027	Market
GASLOG PARTNERS LP	4822	196834	Market
GATX CORP	707	11604	Market
GCP APPLIED TECHNOLOGIES INC	18753	574373	Market
GENERAC HLDGS INC	597	16025	Market
GENERAL COMMUNICATION INC	846	40663	Market
GENERAL DYNAMICS CORP	715	3817	Market
GENERAL DYNAMICS CORP	1161	6200	Call
GENERAL DYNAMICS CORP	1816	9700	Put
GENERAL ELECTRIC CO	16286	546500	Call
GENERAL ELECTRIC CO	16965	569300	Put
GENERAL MTRS CO	3062	86600	Market
GENERAL MTRS CO	3122	88300	Call
GENERAL MTRS CO	3334	94300	Put
GENMARK DIAGNOSTICS INC	1254	97784	Market
GENOMIC HEALTH INC	5656	179600	Market
GENPACT LIMITED	40235	1625011	Market
GENTHERM INC	224	5707	Market
GENWORTH FINL INC	625	151750	Market
GEO GROUP INC NEW	8131	175361	Market
GEO GROUP INC NEW	723	15600	Put
GERMAN AMERN BANCORP INC	999	21095	Market
GGP INC	43292	1867640	Market
GGP INC	795	34300	Call
GIGAMON INC	2089	58775	Market
GIGAMON INC	231	6500	Call
GIGAMON INC	249	7000	Put
G-III APPAREL GROUP LTD	463	21172	Market
GILEAD SCIENCES INC	101431	1493394	Market
GILEAD SCIENCES INC	1175	17300	Call
GILEAD SCIENCES INC	1630	24000	Put
GLADSTONE CAPITAL CORP	1500	158023	Market
GLADSTONE COML CORP	2863	138532	Market
GLADSTONE INVT CORP	1842	203113	Market
GLAUKOS CORP	14581	284229	Market
GLAXOSMITHKLINE PLC	86884	2060822	Market
GLOBAL BRASS & COPPR HLDGS I	2745	79791	Market
GLOBAL EAGLE ENTMT INC	272	85299	Market
GLOBUS MED INC	6185	208827	Market
GMS INC	2444	69743	Market
GODADDY INC	32314	852608	Market
GOGO INC	5492	499232	Market
GOLD FIELDS LTD NEW	11792	3340538	Market
GOLDCORP INC NEW	19186	1315022	Market
GOLDCORP INC NEW	5699	390600	Call
GOLDCORP INC NEW	5503	377200	Put
GOLDEN OCEAN GROUP LTD	348	45516	Market
GOLDMAN SACHS GROUP INC	782	3403	Market
GOLDMAN SACHS GROUP INC	689	3000	Call
GOLDMAN SACHS GROUP INC	1149	5000	Put
GOODYEAR TIRE & RUBR CO	724	20100	Call
GOODYEAR TIRE & RUBR CO	684	19000	Put
GOPRO INC	97	11188	Market
GORMAN RUPP CO	210	6687	Market
GP STRATEGIES CORP	243	9594	Market
GRACE W R & CO DEL NEW	35772	513153	Market
GRACO INC	1261	13400	Market
GRAHAM CORP	975	42401	Market
GRAHAM HLDGS CO	533	889	Market
GRAINGER W W INC	37377	160582	Market
GRAINGER W W INC	3096	13300	Call
GRAINGER W W INC	3957	17000	Put
GRAMERCY PPTY TR	3374	128305	Market
GRAN TIERRA ENERGY INC	166	62909	Market
GRAND CANYON ED INC	1495	20870	Market
GRANITE REAL ESTATE INVT TR	5075	144937	Market
GRAPHIC PACKAGING HLDG CO	66220	5145295	Market
GRAY TELEVISION INC	7856	541789	Market
GREAT AJAX CORP	377	28892	Market
GREAT LAKES DREDGE & DOCK CO	819	204631	Market
GREAT PLAINS ENERGY INC	111126	3803085	Market
GREAT SOUTHN BANCORP INC	483	9567	Market
GREEN BANCORP INC	1201	67480	Market
GREEN DOT CORP	8676	260058	Market
GREENLIGHT CAPITAL RE LTD	1797	81306	Market
GREIF INC	254	4616	Market
GRIFFON CORP	1411	57227	Market
GRIFOLS S A	6651	352358	Market
GROUPE CGI INC	5427	113150	Market
GROUPON INC	118	30034	Market
GROUPON INC	176	44900	Call
GROUPON INC	66	16800	Put
GRUBHUB INC	4481	136230	Market
GRUBHUB INC	428	13000	Call
GRUPO AVAL ACCIONES Y VALORE	1661	203306	Market
GSI TECHNOLOGY	398	45772	Market
GUARANTY BANCORP DEL	1418	58226	Market
GULF ISLAND FABRICATION INC	352	30516	Market
GULFPORT ENERGY CORP	6601	384023	Market
GULFPORT ENERGY CORP	1135	66000	Call
GULFPORT ENERGY CORP	758	44100	Put
H & E EQUIPMENT SERVICES INC	3657	149127	Market
HABIT RESTAURANTS INC	1165	65811	Market
HACKETT GROUP INC	3354	172094	Market
HAIN CELESTIAL GROUP INC	326	8776	Market
HALLIBURTON CO	57503	1168525	Market
HALLIBURTON CO	1521	30900	Call
HALLIBURTON CO	1895	38500	Put
HANESBRANDS INC	1071	51600	Call
HANESBRANDS INC	1462	70400	Put
HANNON ARMSTRONG SUST INFR C	2087	103303	Market
HANOVER INS GROUP INC	17404	193251	Market
HARMONIC INC	985	165506	Market
HARMONY GOLD MNG LTD	133	54414	Market
HARRIS CORP DEL	10183	91520	Market
HARSCO CORP	4268	334773	Market
HARTE-HANKS INC	73	52252	Market
HARTFORD FINL SVCS GROUP INC	5654	117626	Market
HARVARD BIOSCIENCE INC	28	10704	Market
HASBRO INC	93131	932986	Market
HAVERTY FURNITURE INC	2077	85305	Market
HAWAIIAN HOLDINGS INC	4481	96459	Market
HAWAIIAN TELCOM HOLDCO INC	485	21153	Market
HAWKINS INC	448	9153	Market
HAYNES INTERNATIONAL INC	1481	38846	Market
HCA HOLDINGS INC	24998	280909	Market
HCI GROUP INC	1055	23145	Market
HCP INC	9279	296657	Market
HCP INC	5824	186200	Call
HCP INC	4013	128300	Put
HD SUPPLY HLDGS INC	49779	1210435	Market
HEADWATERS INC	377	16048	Market
HEALTH INS INNOVATIONS INC	1726	107848	Market
HEALTHEQUITY INC	3799	89495	Market
HEALTHSOUTH CORP	15349	358532	Market
HEALTHSTREAM INC	827	34128	Market
HEARTLAND EXPRESS INC	3030	151110	Market
HECLA MNG CO	1163	219900	Call
HECLA MNG CO	995	188100	Put
HEICO CORP NEW	431	4943	Market
HEIDRICK & STRUGGLES INTL IN	1189	45123	Market
HELIX ENERGY SOLUTIONS GRP I	1453	187036	Market
HELMERICH & PAYNE INC	3548	53300	Call
HELMERICH & PAYNE INC	4087	61400	Put
HERBALIFE LTD	599	10300	Call
HERBALIFE LTD	988	17000	Put
HERCULES CAPITAL INC	1149	75974	Market
HERITAGE COMMERCE CORP	2940	208546	Market
HERITAGE CRYSTAL CLEAN INC	682	49755	Market
HERITAGE FINL CORP WASH	1187	47952	Market
HERSHEY CO	31347	286933	Market
HESKA CORP	5341	50879	Market
HESS CORP	17674	366600	Call
HESS CORP	19226	398800	Put
HEXCEL CORP NEW	8337	152841	Market
HIBBETT SPORTS INC	217	7362	Market
HIGHWOODS PPTYS INC	2471	50299	Market
HILL INTERNATIONAL INC	68	16276	Market
HILL ROM HLDGS INC	22623	320436	Market
HILLENBRAND INC	3328	92837	Market
HILLTOP HOLDINGS INC	1156	42066	Market
HILTON GRAND VACATIONS INC	1249	43583	Market
HILTON WORLDWIDE HLDGS INC	326	5577	Market
HILTON WORLDWIDE HLDGS INC	1929	33000	Call
HILTON WORLDWIDE HLDGS INC	2169	37100	Put
HIMAX TECHNOLOGIES INC	3207	351599	Market
HINGHAM INSTN SVGS MASS	248	1401	Market
HOLLYFRONTIER CORP	2284	80600	Call
HOLLYFRONTIER CORP	1695	59800	Put
HOLLYSYS AUTOMATION TECHNOLO	205	12100	Market
HOLOGIC INC	52411	1231743	Market
HOME DEPOT INC	176631	1202960	Market
HOME DEPOT INC	2893	19700	Call
HOME DEPOT INC	7048	48000	Put
