CompanyName	Value(1000s)	Shares	OrderType
CEVA INC	5899	129800	Market
CF INDS HLDGS INC	35108	1255650	Market
CHAMPIONS ONCOLOGY INC	36	14000	Market
CHANGYOU COM LTD	26737	689800	Market
CHANNELADVISOR CORP	3009	260500	Market
CHARLES & COLVARD LTD	150	162900	Market
CHARLES RIV LABS INTL INC	123391	1219883	Market
CHART INDS INC	931	26800	Market
CHARTER COMMUNICATIONS INC N	62641	185961	Market
CHARTER FINL CORP MD	16830	934982	Market
CHASE CORP	33920	317900	Market
CHATHAM LODGING TR	12255	610000	Market
CHECK POINT SOFTWARE TECH LT	33411	306300	Market
CHEESECAKE FACTORY INC	25369	504345	Market
CHEGG INC	11914	969400	Market
CHEMED CORP NEW	14399	70400	Market
CHEMICAL FINL CORP	3402	70275	Market
CHEMOCENTRYX INC	6769	723151	Market
CHEMOURS CO	126736	3342200	Market
CHEMUNG FINL CORP	1715	41951	Market
CHENIERE ENERGY PARTNERS LP	1834	56600	Market
CHEROKEE INC DEL NEW	3770	542449	Market
CHERRY HILL MTG INVT CORP	20914	1132300	Market
CHESAPEAKE LODGING TR	3852	157400	Market
CHESAPEAKE UTILS CORP	17250	230150	Market
CHICAGO RIVET & MACH CO	2222	59500	Market
CHILDRENS PL INC	34097	333960	Market
CHIMERA INVT CORP	11395	611660	Market
CHIMERIX INC	234	42960	Market
CHINA ADVANCED CONSTR MATLS	69	27727	Market
CHINA AUTO LOGISTICS INC	65	31900	Market
CHINA AUTOMOTIVE SYS INC	2076	428933	Market
CHINA BIOLOGIC PRODS INC	9286	82100	Market
CHINA CORD BLOOD CORP	10912	1151100	Market
CHINA DISTANCE ED HLDGS LTD	3176	356000	Market
CHINA EASTN AIRLS LTD	1610	52600	Market
CHINA GREEN AGRICULTURE INC	692	540800	Market
CHINA INFORMATION TECHNOLOGY	137	145700	Market
CHINA JO-JO DRUGSTORES INC	212	121700	Market
CHINA LIFE INS CO LTD	300	19553	Market
CHINA LODGING GROUP LTD	59550	738100	Market
CHINA MOBILE LIMITED	169490	3192500	Market
CHINA NEW BORUN CORP	717	531000	Market
CHINA PETE & CHEM CORP	41941	533600	Market
CHINA PHARMA HLDGS INC	78	338000	Market
CHINA RECYCLING ENERGY CORP	81	61919	Market
CHINA SOUTHN AIRLS LTD	20940	505800	Market
CHINA TELECOM CORP LTD	9533	198900	Market
CHINA UNICOM (HONG KONG) LTD	20956	1400800	Market
CHINA XD PLASTICS CO LTD	2950	627700	Market
CHINA YUCHAI INTL LTD	3061	168114	Market
CHINA ZENIX AUTO INTL LTD	260	146240	Market
CHINACACHE INTL HLDG LTD	568	489799	Market
CHIPMOS TECHNOLOGIES INC	38002	1922188	Market
CHIPOTLE MEXICAN GRILL INC	185622	446100	Market
CHOICE HOTELS INTL INC	44127	686800	Market
CHRISTOPHER & BANKS CORP	3356	2562200	Market
CHUBB LIMITED	349561	2404461	Market
CHUNGHWA TELECOM CO LTD	98480	2796148	Market
CHURCH & DWIGHT INC	92964	1791900	Market
CHUYS HLDGS INC	2673	114212	Market
CIDARA THERAPEUTICS INC	1016	135500	Market
CIENA CORP	17226	688474	Market
CIGNA CORPORATION	92918	555100	Market
CIMAREX ENERGY CO	50323	535298	Market
CINCINNATI FINL CORP	27169	375000	Market
CINEDIGM CORP	965	554340	Market
CINEMARK HOLDINGS INC	43461	1118700	Market
CINER RES LP	942	34372	Market
CINTAS CORP	42988	341068	Market
CITI TRENDS INC	1920	90500	Market
CITIZENS & NORTHN CORP	4250	182700	Market
CITIZENS CMNTY BANCORP INC M	355	25400	Market
CITIZENS FINL GROUP INC	21822	611600	Market
CITIZENS HLDG CO MISS	263	10100	Market
CITY HLDG CO	6284	95400	Market
CITY OFFICE REIT INC	8346	657200	Market
CIVEO CORP CDA	15763	7506000	Market
CIVISTA BANCSHARES INC	4652	222800	Market
CIVITAS SOLUTIONS INC	602	34400	Market
CLEAN ENERGY FUELS CORP	8060	3173078	Market
CLEAN HARBORS INC	54507	976302	Market
CLEAR CHANNEL OUTDOOR HLDGS	4272	880900	Market
CLEARFIELD INC	6914	523799	Market
CLEARONE INC	1462	155100	Market
CLEARSIDE BIOMEDICAL INC	731	80200	Market
CLEARWATER PAPER CORP	2446	52325	Market
CLEVELAND BIOLABS INC	569	192716	Market
CLIFTON BANCORP INC	25333	1532562	Market
CLOROX CO DEL	178728	1341400	Market
CLOUD PEAK ENERGY INC	16210	4592000	Market
CLOVIS ONCOLOGY INC	30542	326200	Market
CLUBCORP HLDGS INC	5275	402700	Market
CME GROUP INC	68994	550895	Market
CMS ENERGY CORP	71225	1540000	Market
CNA FINL CORP	24560	503800	Market
CNB FINL CORP PA	5065	211300	Market
CNH INDL N V	32166	2838065	Market
CNOOC LTD	31882	291400	Market
CNX COAL RES LP	178	11894	Market
COACH INC	13326	281500	Market
COASTWAY BANCORP INC	704	34351	Market
COBIZ FINANCIAL INC	9443	542700	Market
COCA COLA BOTTLING CO CONS	6369	27827	Market
COCA COLA CO	92669	2066200	Market
COCA COLA EUROPEAN PARTNERS	21756	534938	Market
COCA COLA FEMSA S A B DE C V	76499	903500	Market
CODEXIS INC	4179	766700	Market
CODORUS VY BANCORP INC	2477	87203	Market
COEUR MNG INC	44309	5164228	Market
COFFEE HLDGS INC	660	148300	Market
COGENT COMMUNICATIONS HLDGS	82550	2058600	Market
COGENTIX MED INC	973	559079	Market
COHEN & STEERS INC	18940	467200	Market
COHERENT INC	9607	42700	Market
COHERUS BIOSCIENCES INC	314	21900	Market
COHU INC	11463	728254	Market
COLFAX CORP	11319	287500	Market
COLGATE PALMOLIVE CO	723020	9753400	Market
COLLECTORS UNIVERSE INC	18168	731119	Market
COLLIERS INTL GROUP INC	49560	877900	Market
COLONY BANKCORP INC	723	52800	Market
COLONY STARWOOD HOMES	61477	1791800	Market
COLUMBIA BKG SYS INC	2394	60079	Market
COLUMBIA PPTY TR INC	3109	138900	Market
COLUMBIA SPORTSWEAR CO	5800	99902	Market
COLUMBUS MCKINNON CORP N Y	5427	213485	Market
COMBIMATRIX CORPORATION	84	15709	Market
COMCAST CORP NEW	8585	220576	Market
COMFORT SYS USA INC	32206	868092	Market
COMMERCE BANCSHARES INC	1897	33373	Market
COMMERCE UN BANCSHARES INC	327	13700	Market
COMMERCEHUB INC	2524	144900	Market
COMMERCEHUB INC	3446	197567	Market
COMMERCIAL VEH GROUP INC	15753	1864305	Market
COMMSCOPE HLDG CO INC	12641	332400	Market
COMMUNICATIONS SYS INC	1637	377970	Market
COMMUNITY BANKERS TR CORP	1349	163525	Market
COMMUNITY BK SYS INC	515	9240	Market
COMMUNITY FINL CORP MD	458	11900	Market
COMMUNITY HEALTH SYS INC NEW	4855	487493	Market
COMMUNITY HEALTHCARE TR INC	4238	165597	Market
COMMUNITY TR BANCORP INC	7617	174100	Market
COMMVAULT SYSTEMS INC	87792	1555213	Market
COMPANHIA DE SANEAMENTO BASI	22752	2389900	Market
COMPANHIA ENERGETICA DE MINA	2254	938964	Market
COMPANHIA PARANAENSE ENERG C	560	76300	Market
COMPANHIA SIDERURGICA NACION	1981	921200	Market
COMPANIA CERVECERIAS UNIDAS	2627	100104	Market
COMPASS MINERALS INTL INC	9880	151300	Market
COMPUGEN LTD	1425	375100	Market
COMPUTER PROGRAMS & SYS INC	234	7134	Market
COMPUTER TASK GROUP INC	2578	461200	Market
COMPX INTERNATIONAL INC	2457	161600	Market
COMSTOCK HLDG COS INC	56	28184	Market
CONAGRA BRANDS INC	35023	979400	Market
CONATUS PHARMACEUTICALS INC	110	19171	Market
CONCERT PHARMACEUTICALS INC	5316	381100	Market
CONCORD MED SVCS HLDGS LTD	896	239000	Market
CONCORDIA INTERNATIONAL CORP	258	165234	Market
CONCURRENT COMPUTER CORP NEW	4450	669119	Market
CONE MIDSTREAM PARTNERS LP	1622	85600	Market
CONNECTICUT WTR SVC INC	13589	244800	Market
CONNECTONE BANCORP INC NEW	22802	1011176	Market
CONOCOPHILLIPS	47029	1069813	Market
CONSOLIDATED EDISON INC	109228	1351500	Market
CONSOLIDATED TOMOKA LD CO	1663	29200	Market
CONSOLIDATED WATER CO INC	3000	241900	Market
CONSTELLATION BRANDS INC	117672	607400	Market
CONSTELLATION BRANDS INC	1187	6100	Market
CONSUMER PORTFOLIO SVCS INC	1963	431500	Market
CONTAINER STORE GROUP INC	371	62600	Market
CONTINENTAL BLDG PRODS INC	9246	396813	Market
CONTINENTAL RESOURCES INC	93518	2892600	Market
CONTROL4 CORP	16676	850400	Market
CONTROLADORA VUELA CIA DE AV	2188	150400	Market
CONVERGYS CORP	1344	56530	Market
COOPER COS INC	33160	138500	Market
COOPER STD HLDGS INC	41881	415200	Market
COOPER TIRE & RUBR CO	1199	33200	Market
COPA HOLDINGS SA	12098	103400	Market
CORCEPT THERAPEUTICS INC	31664	2683400	Market
CORE LABORATORIES N V	11768	116200	Market
CORE MARK HOLDING CO INC	2278	68900	Market
CORE MOLDING TECHNOLOGIES IN	8219	380315	Market
CORECIVIC INC	31441	1140003	Market
CORELOGIC INC	8003	184486	Market
CORENERGY INFRASTRUCTURE TR	15065	448500	Market
CORESITE RLTY CORP	37157	358900	Market
CORIUM INTL INC	1353	181400	Market
CORNERSTONE ONDEMAND INC	8991	251500	Market
CORPORATE OFFICE PPTYS TR	56185	1603900	Market
CORVEL CORP	69941	1474000	Market
CORVUS PHARMACEUTICALS INC	1659	137100	Market
COSAN LTD	65290	10185699	Market
COSTAMARE INC	1376	188300	Market
COSTAR GROUP INC	9647	36598	Market
COSTCO WHSL CORP NEW	255008	1594500	Market
COTIVITI HLDGS INC	5144	138513	Market
COTT CORP QUE	3548	245700	Market
COUPA SOFTWARE INC	3637	125500	Market
COUSINS PPTYS INC	11944	1358771	Market
COVANTA HLDG CORP	40855	3095100	Market
COVISINT CORP	2487	1015000	Market
CPFL ENERGIA S A	13945	874286	Market
CPI AEROSTRUCTURES INC	802	85300	Market
CPI CARD GROUP INC	960	336800	Market
CRA INTL INC	13722	377800	Market
CRAFT BREW ALLIANCE INC	413	24500	Market
CRANE CO	17337	218400	Market
CRAWFORD & CO	2862	367900	Market
CRAWFORD & CO	6206	667303	Market
CRAY INC	3510	190746	Market
CREDICORP LTD	30460	169800	Market
CREDIT SUISSE GROUP	37802	2589188	Market
CRESCENT PT ENERGY CORP	2821	368800	Market
CRESTWOOD EQUITY PARTNERS LP	925	39382	Market
CRESUD S A C I F Y A	1595	82014	Market
CRH MEDICAL CORP	2412	423220	Market
CRH PLC	9673	272700	Market
CROCS INC	19396	2515710	Market
CROSS TIMBERS RTY TR	274	17912	Market
CROSSAMERICA PARTNERS LP	536	21000	Market
CROWN CASTLE INTL CORP NEW	488428	4875503	Market
CROWN CRAFTS INC	1932	278000	Market
CROWN HOLDINGS INC	22104	370500	Market
CRYOLIFE INC	11956	599300	Market
CSG SYS INTL INC	93272	2298475	Market
CSI COMPRESSCO LP	294	60588	Market
CSP INC	2686	249200	Market
CSRA INC	22554	710351	Market
CSW INDUSTRIALS INC	8851	229000	Market
CTI BIOPHARMA CORP	453	136745	Market
CTI INDUSTRIES CORP	66	11700	Market
CU BANCORP CALIF	18267	505300	Market
CUBIC CORP	8741	188800	Market
CUI GLOBAL INC	144	37400	Market
CULP INC	19919	612900	Market
CUMBERLAND PHARMACEUTICALS I	2036	290853	Market
CUMMINS INC	50434	310900	Market
CUMULUS MEDIA INC	251	556705	Market
CURIS INC	495	261700	Market
CURTISS WRIGHT CORP	24964	272000	Market
CUSTOMERS BANCORP INC	6734	238120	Market
CUTERA INC	31456	1214500	Market
CVD EQUIPMENT CORP	1312	118500	Market
CVR ENERGY INC	3852	177000	Market
CVR REFNG LP	1612	169700	Market
CYANOTECH CORP	373	105000	Market
CYBEROPTICS CORP	5986	289900	Market
CYCLACEL PHARMACEUTICALS INC	184	48913	Market
CYMABAY THERAPEUTICS INC	1805	313392	Market
CYREN LTD	1214	592233	Market
CYS INVTS INC	4446	528600	Market
CYTOMX THERAPEUTICS INC	6369	410900	Market
CYTORI THERAPEUTICS INC	165	149891	Market
DAILY JOURNAL CORP	336	1600	Market
DAKTRONICS INC	2819	292700	Market
DANAHER CORP DEL	143244	1697400	Market
DAQO NEW ENERGY CORP	625	30100	Market
DARLING INGREDIENTS INC	1501	95360	Market
DASAN ZHONE SOLUTIONS INC	478	79697	Market
DASEKE INC	2040	183300	Market
DATA I O CORP	5039	633800	Market
DATAWATCH CORP	5364	576800	Market
DAVITA INC	34537	533300	Market
DAWSON GEOPHYSICAL CO NEW	6320	1612362	Market
DAXOR CORP	335	54100	Market
DCP MIDSTREAM LP	1617	47810	Market
DCT INDUSTRIAL TRUST INC	23678	443075	Market
DEAN FOODS CO NEW	44196	2599750	Market
DECKERS OUTDOOR CORP	6744	98800	Market
DEERE & CO	18835	152400	Market
DEL FRISCOS RESTAURANT GROUP	2296	142589	Market
DELCATH SYS INC	1998	10141607	Market
DELEK LOGISTICS PARTNERS LP	388	11849	Market
DELL TECHNOLOGIES INC	19066	312000	Market
DELPHI AUTOMOTIVE PLC	27040	308500	Market
DELTA AIR LINES INC DEL	37946	706100	Market
DELTA NAT GAS INC	3026	99300	Market
DELUXE CORP	14522	209800	Market
DENISON MINES CORP	135	313200	Market
DENNYS CORP	46455	3946911	Market
DEPOMED INC	2131	198438	Market
DERMIRA INC	5778	198300	Market
DESCARTES SYS GROUP INC	15107	620400	Market
DESTINATION MATERNITY CORP	2522	780900	Market
DESTINATION XL GROUP INC	282	120000	Market
DETERMINE INC	530	201614	Market
DEUTSCHE BANK AG	24024	1350438	Market
DEVON ENERGY CORP NEW	139917	4376500	Market
DGSE COMPANIES INC	206	123600	Market
DHI GROUP INC	4128	1448300	Market
DHT HOLDINGS INC	3031	730300	Market
DIAGEO P L C	7909	66000	Market
DIAMOND HILL INVESTMENT GROU	16889	84700	Market
DIAMONDBACK ENERGY INC	3028	34100	Market
DIANA CONTAINERSHIPS INC	38	101085	Market
DIANA SHIPPING INC	2905	715600	Market
DICERNA PHARMACEUTICALS INC	1405	443100	Market
DICKS SPORTING GOODS INC	74645	1874100	Market
DIEBOLD NXDF INC	1392	49700	Market
DIGI INTL INC	4880	480800	Market
DIGIRAD CORP	3432	847400	Market
DIGITAL PWR CORP	66	91700	Market
DIGITAL RLTY TR INC	86757	768100	Market
DIGITAL TURBINE INC	136	131779	Market
DIME CMNTY BANCSHARES	12453	635372	Market
DIMENSION THERAPEUTICS INC	128	88300	Market
DIPLOMAT PHARMACY INC	490	33100	Market
DISCOVER FINL SVCS	120611	1939400	Market
DISCOVERY COMMUNICATNS NEW	17059	660450	Market
DISCOVERY COMMUNICATNS NEW	8149	323250	Market
DISNEY WALT CO	181986	1712807	Market
DIVERSICARE HEALTHCARE SVCS	993	106800	Market
DIVERSIFIED RSTRNT HLDGS INC	1674	643800	Market
DIXIE GROUP INC	91	20320	Market
DLH HLDGS CORP	627	116290	Market
DMC GLOBAL INC	1978	151000	Market
DNB FINL CORP	240	7000	Market
DOCUMENT SEC SYS INC	15	19090	Market
DOLBY LABORATORIES INC	75844	1549100	Market
DOLLAR GEN CORP NEW	60866	844300	Market
DOLLAR TREE INC	125947	1801303	Market
DOMINION DIAMOND CORP	33575	2673198	Market
DOMINION ENERGY MIDSTRM PRTN	2363	81900	Market
DOMINOS PIZZA INC	647472	3060900	Market
DOMTAR CORP	12396	322642	Market
DONEGAL GROUP INC	5947	374000	Market
DORCHESTER MINERALS LP	1622	112252	Market
DOUGLAS DYNAMICS INC	2435	74000	Market
DOUGLAS EMMETT INC	33816	885000	Market
DOVER CORP	34085	424900	Market
DOVER DOWNS GAMING & ENTMT I	578	521100	Market
DOVER MOTORSPORTS INC	795	378500	Market
DR PEPPER SNAPPLE GROUP INC	92650	1016900	Market
DR REDDYS LABS LTD	11997	284700	Market
DRAGONWAVE INC	86	98068	Market
DRDGOLD LIMITED	4866	1544770	Market
DRIL-QUIP INC	6022	123400	Market
DRYSHIPS INC	26	20400	Market
DSP GROUP INC	8311	716494	Market
DST SYS INC DEL	4375	70900	Market
DTE ENERGY CO	204386	1932000	Market
DU PONT E I DE NEMOURS & CO	70048	867900	Market
DUCOMMUN INC DEL	18869	597500	Market
DUKE ENERGY CORP NEW	224344	2683867	Market
DUKE REALTY CORP	15043	538200	Market
DULUTH HLDGS INC	956	52516	Market
DUN & BRADSTREET CORP DEL NE	46933	433958	Market
DUNKIN BRANDS GROUP INC	27924	506600	Market
DUPONT FABROS TECHNOLOGY INC	1321	21600	Market
DURECT CORP	115	73401	Market
DXP ENTERPRISES INC NEW	3705	107400	Market
DYNAGAS LNG PARTNERS LP	1453	95000	Market
DYNATRONICS CORP	41	14600	Market
DYNEX CAP INC	4092	576276	Market
E TRADE FINANCIAL CORP	63481	1669240	Market
EAGLE BANCORP MONT INC	386	21300	Market
EAGLE BULK SHIPPING INC	745	157400	Market
EAGLE MATERIALS INC	42948	464700	Market
EASTERLY GOVT PPTYS INC	19414	926680	Market
EASTERN CO	6154	204800	Market
EASTGROUP PPTY INC	746	8900	Market
EBAY INC	55940	1601940	Market
EBIX INC	1379	25580	Market
ECA MARCELLUS TR I	71	33663	Market
ECHELON CORP	1324	256604	Market
ECHO GLOBAL LOGISTICS INC	823	41374	Market
ECHOSTAR CORP	173710	2861780	Market
ECLIPSE RES CORP	3551	1241701	Market
ECOLOGY & ENVIRONMENT INC	871	69374	Market
ECOPETROL S A	56928	6262700	Market
EDGE THERAPEUTICS INC	624	60800	Market
EDGEWATER TECHNOLOGY INC	4008	589400	Market
EDGEWELL PERS CARE CO	585	7700	Market
EDISON INTL	207985	2659995	Market
EDWARDS LIFESCIENCES CORP	100847	852900	Market
EGAIN CORP	242	146700	Market
EGALET CORP	126	53000	Market
EHEALTH INC	17740	943600	Market
EHI CAR SVCS LTD	1649	165200	Market
EIGER BIOPHARMACEUTICALS INC	185	23425	Market
EL PASO ELEC CO	36673	709337	Market
EL POLLO LOCO HLDGS INC	526	38000	Market
ELBIT IMAGING LTD	159	54413	Market
ELBIT SYS LTD	22217	179535	Market
ELDORADO GOLD CORP NEW	371	140700	Market
ELDORADO RESORTS INC	48390	2419521	Market
ELECTRO SCIENTIFIC INDS	9576	1162100	Market
ELECTRO-SENSORS INC	246	68200	Market
ELECTRONIC ARTS INC	273399	2586064	Market
ELLIE MAE INC	6584	59900	Market
ELLINGTON FINANCIAL LLC	2480	152970	Market
ELLINGTON RESIDENTIAL MTG RE	12671	864302	Market
ELLIS PERRY INTL INC	7510	385900	Market
ELTEK LTD	79	112500	Market
EMAGIN CORP	401	163800	Market
EMBOTELLADORA ANDINA S A	3414	150400	Market
EMBOTELLADORA ANDINA S A	14067	553800	Market
EMBRAER S A	32613	1789000	Market
EMC INS GROUP INC	6538	235350	Market
EMCOR GROUP INC	8767	134100	Market
EMCORE CORP	8511	799197	Market
EMERGENT BIOSOLUTIONS INC	27820	820411	Market
EMERSON RADIO CORP	1173	844100	Market
EMMIS COMMUNICATIONS CORP	631	220001	Market
EMPIRE ST RLTY TR INC	49813	2398300	Market
EMPLOYERS HOLDINGS INC	8896	210300	Market
EMPRESA DIST Y COMERCIAL NOR	1703	53400	Market
ENABLE MIDSTREAM PARTNERS LP	186	11700	Market
ENANTA PHARMACEUTICALS INC	22326	620500	Market
ENBRIDGE ENERGY MANAGEMENT L	8353	542077	Market
ENBRIDGE ENERGY PARTNERS L P	227	14200	Market
ENBRIDGE INC	152555	3832082	Market
ENDEAVOUR SILVER CORP	13487	4421900	Market
ENDO INTL PLC	2307	206500	Market
ENDOCYTE INC	181	120724	Market
ENDURANCE INTL GROUP HLDGS I	5297	634400	Market
ENEL AMERICAS S A	5156	546800	Market
ENEL CHILE S A	1123	204204	Market
ENEL GENERACION CHILE S A	6790	299900	Market
ENERGIZER HLDGS INC NEW	29379	611800	Market
ENERGY RECOVERY INC	3377	407300	Market
ENERGY TRANSFER EQUITY L P	555	30918	Market
ENERNOC INC	12079	1558588	Market
ENERPLUS CORP	863	106346	Market
ENERSYS	717	9900	Market
ENGILITY HLDGS INC NEW	5413	190600	Market
ENGLOBAL CORP	636	492770	Market
ENNIS INC	13532	708500	Market
ENOVA INTL INC	14706	990300	Market
ENPHASE ENERGY INC	239	276133	Market
ENPRO INDS INC	11862	166200	Market
ENSCO PLC	4882	946100	Market
ENSTAR GROUP LIMITED	5344	26900	Market
ENTEGRA FINL CORP	350	15400	Market
ENTEGRIS INC	29391	1338990	Market
ENTERCOM COMMUNICATIONS CORP	3950	381600	Market
ENTERGY CORP NEW	194566	2534400	Market
ENTERPRISE BANCORP INC MASS	881	24800	Market
ENTERPRISE FINL SVCS CORP	15227	373200	Market
ENTERPRISE PRODS PARTNERS L	74192	2739749	Market
ENTRAVISION COMMUNICATIONS C	11524	1746000	Market
ENVESTNET INC	2938	74192	Market
ENVIROSTAR INC	1907	70500	Market
ENVIVA PARTNERS LP	1306	47500	Market
ENZO BIOCHEM INC	22848	2069600	Market
ENZYMOTEC LTD	2422	299000	Market
EOG RES INC	74009	817600	Market
EPAM SYS INC	3322	39500	Market
EPIZYME INC	3032	200788	Market
EPR PPTYS	11298	157200	Market
EQT CORP	10482	178900	Market
EQT MIDSTREAM PARTNERS LP	12049	161452	Market
EQUIFAX INC	16566	120550	Market
EQUINIX INC	78910	183870	Market
EQUITY BANCSHARES INC	2552	83300	Market
EQUITY COMWLTH	75103	2376675	Market
EQUITY LIFESTYLE PPTYS INC	145440	1684500	Market
ERA GROUP INC	226	23900	Market
ERIE INDTY CO	11632	93000	Market
ESCALADE INC	2697	205900	Market
ESCO TECHNOLOGIES INC	435	7300	Market
ESPEY MFG & ELECTRS CORP	2686	119800	Market
ESSA BANCORP INC	6487	440700	Market
ESSENDANT INC	421	28422	Market
ESSENT GROUP LTD	18098	487300	Market
ESSEX PPTY TR INC	64549	250900	Market
ETSY INC	47555	3170300	Market
EURASIAN MINERALS INC	29	31611	Market
EURONAV NV ANTWERPEN	367	46400	Market
EURONET WORLDWIDE INC	64002	732545	Market
EUROSEAS LTD	22	16995	Market
EVANS BANCORP INC	1414	35400	Market
EVERBRIDGE INC	7574	310900	Market
EVERCORE PARTNERS INC	92785	1316100	Market
EVEREST RE GROUP LTD	57028	224000	Market
EVERI HLDGS INC	35445	4868878	Market
EVERSOURCE ENERGY	105757	1742000	Market
EVERTEC INC	47807	2763400	Market
EVINE LIVE INC	1261	1260856	Market
EVOLUTION PETROLEUM CORP	7993	986800	Market
EVOLVING SYS INC	2789	541499	Market
EXA CORP	3335	241700	Market
EXACT SCIENCES CORP	28600	808600	Market
EXACTECH INC	3916	131400	Market
EXCO RESOURCES INC	776	292831	Market
EXELIXIS INC	60075	2439110	Market
EXELON CORP	67026	1858224	Market
EXFO INC	7147	1520600	Market
EXLSERVICE HOLDINGS INC	38356	690100	Market
EXPEDIA INC DEL	13399	89959	Market
EXPEDITORS INTL WASH INC	14165	250800	Market
EXPONENT INC	30940	530700	Market
EXPRESS INC	12685	1879300	Market
EXTENDED STAY AMER INC	20630	1065600	Market
EXTREME NETWORKS INC	42873	4649961	Market
EZCORP INC	8835	1147418	Market
F5 NETWORKS INC	221111	1740209	Market
FACEBOOK INC	70432	466500	Market
FAIRMOUNT SANTROL HLDGS INC	201	51469	Market
FAIRPOINT COMMUNICATIONS INC	20891	1334863	Market
FAMOUS DAVES AMER INC	984	273400	Market
FANHUA INC	289	33710	Market
FARMER BROS CO	14048	464400	Market
FARMERS CAP BK CORP	12656	328300	Market
FARMERS NATL BANC CORP	2290	157900	Market
FARO TECHNOLOGIES INC	7673	203000	Market
FASTENAL CO	26403	606544	Market
FATE THERAPEUTICS INC	1001	308800	Market
FB FINL CORP	1147	31700	Market
FBL FINL GROUP INC	3998	65000	Market
FCB FINL HLDGS INC	3526	73852	Market
FEDERAL AGRIC MTG CORP	15690	242500	Market
FEDERAL REALTY INVT TR	22156	175300	Market
FEDERATED NATL HLDG CO	10811	675700	Market
FELCOR LODGING TR INC	6309	875002	Market
FEMALE HEALTH CO	342	325300	Market
FERRARI N V	21323	248175	Market
FERRO CORP	5013	274100	Market
FIAT CHRYSLER AUTOMOBILES N	88443	8320100	Market
FIBRIA CELULOSE S A	25637	2523300	Market
FIBROCELL SCIENCE INC	434	108264	Market
FIBROGEN INC	7342	227300	Market
FIDELITY & GTY LIFE	23750	764900	Market
FIDELITY NATIONAL FINANCIAL	28741	641100	Market
FIDELITY NATIONAL FINANCIAL	5557	351700	Market
FIDELITY NATL INFORMATION SV	80575	943501	Market
FIDELITY SOUTHERN CORP NEW	1969	86119	Market
FIELDPOINT PETROLEUM CORP	70	220100	Market
FIESTA RESTAURANT GROUP INC	1298	62866	Market
FIFTH STR ASSET MGMT INC	1236	254800	Market
FIFTH THIRD BANCORP	11163	430026	Market
FINANCIAL ENGINES INC	1588	43400	Market
FINANCIAL INSTNS INC	10126	339800	Market
FINISAR CORP	87075	3351600	Market
FINJAN HLDGS INC	1273	388100	Market
FIRST ACCEPTANCE CORP	364	319600	Market
FIRST AMERN FINL CORP	19597	438500	Market
FIRST BANCORP INC ME	4438	164000	Market
FIRST BANCORP N C	11786	377033	Market
FIRST BANCSHARES INC MS	1054	38200	Market
FIRST BANK WILLIAMSTOWN NJ	515	44200	Market
FIRST BUS FINL SVCS INC WIS	3880	168100	Market
FIRST BUSEY CORP	14294	487500	Market
FIRST CMNTY BANCSHARES INC N	5347	195500	Market
FIRST CMNTY FINL PARTNERS IN	414	32100	Market
FIRST COMWLTH FINL CORP PA	11714	923800	Market
FIRST CONN BANCORP INC MD	7105	277000	Market
FIRST CTZNS BANCSHARES INC N	5292	14200	Market
FIRST DATA CORP NEW	35389	1944472	Market
FIRST DEFIANCE FINL CORP	15804	300000	Market
FIRST FINANCIAL NORTHWEST IN	11415	707700	Market
FIRST FINL BANCORP OH	8318	300300	Market
FIRST FINL BANKSHARES	405	9154	Market
FIRST FINL CORP IND	8552	180800	Market
FIRST FNDTN INC	2652	161400	Market
FIRST GTY BANCSHARES INC	463	17000	Market
FIRST HAWAIIAN INC	1280	41800	Market
FIRST HORIZON NATL CORP	26607	1527381	Market
FIRST INDUSTRIAL REALTY TRUS	16851	588800	Market
FIRST INTERNET BANCORP	1700	60615	Market
FIRST INTST BANCSYSTEM INC	22466	603919	Market
FIRST LONG IS CORP	14966	523281	Market
FIRST MAJESTIC SILVER CORP	551	66400	Market
FIRST MERCHANTS CORP	31523	785329	Market
FIRST MID ILL BANCSHARES INC	2404	70200	Market
FIRST MIDWEST BANCORP DEL	6328	271471	Market
FIRST NORTHWEST BANCORP	4021	255000	Market
FIRST POTOMAC RLTY TR	17617	1585700	Market
FIRST SOLAR INC	5555	139300	Market
FIRST SOUTH BANCORP INC VA	3328	201200	Market
FIRST US BANCSHARES INC	1150	102500	Market
FIRST UTD CORP	250	16800	Market
FIRSTCASH INC	6012	103124	Market
FIRSTENERGY CORP	173035	5934000	Market
FIRSTSERVICE CORP NEW	51416	803500	Market
FITBIT INC	25178	4741700	Market
FIVE BELOW INC	10797	218700	Market
FIVE OAKS INVT CORP	2079	426109	Market
FIVE PRIME THERAPEUTICS INC	12992	431500	Market
FIVE STAR SENIOR LIVING INC	927	618137	Market
FIVE9 INC	45485	2113600	Market
FLAGSTAR BANCORP INC	15207	493412	Market
FLANIGANS ENTERPRISES INC	1425	47200	Market
FLEETCOR TECHNOLOGIES INC	43104	298900	Market
FLEX LTD	42696	2617754	Market
FLEX PHARMA INC	120	31100	Market
FLEXIBLE SOLUTIONS INTL INC	777	418106	Market
FLEXSTEEL INDS INC	2614	48300	Market
FLIR SYS INC	61038	1761060	Market
FLOWERS FOODS INC	6334	365938	Market
FLOWSERVE CORP	8357	180000	Market
FLUIDIGM CORP DEL	2145	531000	Market
