CompanyName	Value(1000s)	Shares	OrderType
DORMAN PRODUCTS INC	161422	2209447	Market
DOUGLAS DYNAMICS INC	23720	704902	Market
DOUGLAS EMMETT INC	267670	7321394	Market
DOVER CORP	210097	2803909	Market
DOVER DOWNS GAMING & ENTMT I	45	43714	Market
DOVER MOTORSPORTS INC	97	42132	Market
DOW CHEM CO	920800	16092277	Market
DR PEPPER SNAPPLE GROUP INC	424778	4684880	Market
DR REDDYS LABS LTD	6792	150007	Market
DREW INDS INC	201188	1867178	Market
DRIL-QUIP INC	96918	1613950	Market
DRIVE SHACK INC	1593	423579	Market
DSP GROUP INC	23572	1806302	Market
DST SYS INC DEL	137222	1280652	Market
DSW INC	48288	2131913	Market
DTE ENERGY CO	643335	6530653	Market
DU PONT E I DE NEMOURS & CO	925231	12605325	Market
DUCOMMUN INC DEL	8727	341433	Market
DUKE ENERGY CORP NEW	947619	12208437	Market
DUKE REALTY CORP	419485	15793861	Market
DULUTH HLDGS INC	7892	310698	Market
DUN & BRADSTREET CORP DEL NE	77624	639830	Market
DUNKIN BRANDS GROUP INC	184501	3518331	Market
DUPONT FABROS TECHNOLOGY INC	118556	2698748	Market
DURECT CORP	5395	4025925	Market
DXP ENTERPRISES INC NEW	44731	1287597	Market
DYCOM INDS INC	148618	1851016	Market
DYCOM INDS INC	63	58000	Market
DYNASIL CORP AMER	5	4043	Market
DYNAVAX TECHNOLOGIES CORP	4923	1246397	Market
DYNEGY INC NEW DEL	31983	3780521	Market
DYNEGY INC NEW DEL	13772	430377	Market
DYNEX CAP INC	17802	2610256	Market
E L F BEAUTY INC	8370	289202	Market
E TRADE FINANCIAL CORP	178449	5150040	Market
EAGLE BANCORP INC MD	56003	918834	Market
EAGLE BANCORP MONT INC	18	850	Market
EAGLE MATERIALS INC	199573	2025501	Market
EAGLE PHARMACEUTICALS INC	67700	853285	Market
EARTHLINK HLDGS CORP	18924	3355305	Market
EARTHSTONE ENERGY INC	1189	86532	Market
EAST WEST BANCORP INC	297570	5854217	Market
EASTERLY GOVT PPTYS INC	20105	1004231	Market
EASTERN CO	367	17573	Market
EASTERN VA BANKSHARES INC	36	3454	Market
EASTGROUP PPTY INC	174502	2363241	Market
EASTMAN CHEM CO	210620	2800429	Market
EASTMAN KODAK CO	8230	530973	Market
EATON CORP PLC	617823	9208866	Market
EATON VANCE CORP	198068	4729407	Market
EBAY INC	457226	15400002	Market
EBIX INC	105652	1851919	Market
ECHELON CORP	4	759	Market
ECHO GLOBAL LOGISTICS INC	58616	2339956	Market
ECHOSTAR CORP	29373	571574	Market
ECLIPSE RES CORP	4827	1808049	Market
ECO STIM ENERGY SOLUTIONS IN	20	21240	Market
ECOLAB INC	478953	4085930	Market
ECOLOGY & ENVIRONMENT INC	89	8409	Market
ECOPETROL S A	6965	769592	Market
EDGE THERAPEUTICS INC	6464	517087	Market
EDGEWATER TECHNOLOGY INC	209	27860	Market
EDGEWELL PERS CARE CO	167051	2288679	Market
EDISON INTL	631581	8773179	Market
EDITAS MEDICINE INC	11572	713006	Market
EDUCATION RLTY TR INC	203628	4813908	Market
EDUCATIONAL DEV CORP	117	11719	Market
EDWARDS LIFESCIENCES CORP	407224	4346045	Market
EGAIN CORP	93	44064	Market
EGALET CORP	5570	728090	Market
EHEALTH INC	15203	1427497	Market
EHI CAR SVCS LTD	142	15643	Market
EIGER BIOPHARMACEUTICALS INC	1526	131008	Market
EL PASO ELEC CO	156238	3359965	Market
EL POLLO LOCO HLDGS INC	21583	1754708	Market
ELDORADO GOLD CORP NEW	1715	532574	Market
ELDORADO RESORTS INC	15813	932921	Market
ELECTRO SCIENTIFIC INDS	15586	2632813	Market
ELECTRO-SENSORS INC	1	222	Market
ELECTROMED INC	62	15869	Market
ELECTRONIC ARTS INC	439446	5579561	Market
ELECTRONICS FOR IMAGING INC	163602	3730092	Market
ELECTRONICS FOR IMAGING INC	62	58000	Market
ELEVEN BIOTHERAPEUTICS INC	5	2365	Market
ELLIE MAE INC	88817	1061393	Market
ELLINGTON RESIDENTIAL MTG RE	2227	171170	Market
ELLIS PERRY INTL INC	25512	1024175	Market
ELMIRA SVGS BK ELMIRA N Y	13	637	Market
EMAGIN CORP	134	62129	Market
EMBRAER S A	8423	437563	Market
EMC INS GROUP INC	8450	281560	Market
EMCLAIRE FINL CORP	6	214	Market
EMCOR GROUP INC	255378	3609067	Market
EMCORE CORP	6066	697235	Market
EMERGENT BIOSOLUTIONS INC	87465	2663371	Market
EMERGENT BIOSOLUTIONS INC	37	29000	Market
EMERGENT CAP INC	67	55620	Market
EMERSON ELEC CO	699355	12544480	Market
EMERSON RADIO CORP	5	4988	Market
EMMIS COMMUNICATIONS CORP	8	2255	Market
EMPIRE DIST ELEC CO	46941	1376972	Market
EMPIRE RES INC DEL	6	863	Market
EMPIRE RESORTS INC	2553	112219	Market
EMPIRE ST RLTY TR INC	25687	1272247	Market
EMPLOYERS HOLDINGS INC	99011	2500282	Market
EMPRESA DIST Y COMERCIAL NOR	3339	119896	Market
ENANTA PHARMACEUTICALS INC	48475	1447002	Market
ENBRIDGE ENERGY MANAGEMENT L	536	20713	Market
ENBRIDGE INC	25980	616802	Market
ENCANA CORP	7507	639467	Market
ENCORE CAP GROUP INC	47259	1649522	Market
ENCORE WIRE CORP	72293	1667664	Market
ENDO INTL PLC	126806	7699189	Market
ENDOCYTE INC	3264	1280030	Market
ENDOLOGIX INC	13746	2403093	Market
ENDURANCE INTL GROUP HLDGS I	16834	1810159	Market
ENDURANCE SPECIALTY HLDGS LT	234398	2536775	Market
ENEL AMERICAS S A	16127	1964336	Market
ENEL GENERACION CHILE S A	5697	293063	Market
ENERGEN CORP	230751	4001235	Market
ENERGIZER HLDGS INC NEW	108506	2432331	Market
ENERGOUS CORP	7973	473184	Market
ENERGY FOCUS INC	111	26162	Market
ENERGY FUELS INC	204	124190	Market
ENERGY RECOVERY INC	11327	1094363	Market
ENERNOC INC	5270	878282	Market
ENERPLUS CORP	4	376	Market
ENERSYS	200659	2569254	Market
ENGILITY HLDGS INC NEW	60924	1807836	Market
ENGLOBAL CORP	99	41316	Market
ENI S P A	80	2474	Market
ENLINK MIDSTREAM LLC	323	16938	Market
ENNIS INC	14634	843440	Market
ENOVA INTL INC	26430	2105956	Market
ENPHASE ENERGY INC	149	147427	Market
ENPRO INDS INC	114267	1696367	Market
ENSCO PLC	126498	13014186	Market
ENSERVCO CORP	4	6737	Market
ENSIGN GROUP INC	87320	3931581	Market
ENSTAR GROUP LIMITED	69287	350467	Market
ENSYNC INC	11	15497	Market
ENTEGRA FINL CORP	387	18804	Market
ENTEGRIS INC	77013	4302404	Market
ENTELLUS MED INC	4687	247066	Market
ENTERCOM COMMUNICATIONS CORP	13308	869817	Market
ENTERGY CORP NEW	544185	7406898	Market
ENTEROMEDICS INC	0	25	Market
ENTERPRISE BANCORP INC MASS	11258	299743	Market
ENTERPRISE FINL SVCS CORP	27198	632510	Market
ENTRAVISION COMMUNICATIONS C	14879	2125616	Market
ENVESTNET INC	44104	1251167	Market
ENVIROSTAR INC	25	1710	Market
ENVISION HEALTHCARE CORP	145438	2297961	Market
ENZO BIOCHEM INC	8911	1284014	Market
EOG RES INC	858737	8493933	Market
EP ENERGY CORP	7840	1196969	Market
EPAM SYS INC	95610	1486706	Market
EPIZYME INC	24383	2015105	Market
EPLUS INC	60426	524527	Market
EPR PPTYS	203439	2834595	Market
EQT CORP	223906	3423641	Market
EQUIFAX INC	255944	2164800	Market
EQUINIX INC	758543	2122332	Market
EQUITABLE FINL CORP NEW	7	747	Market
EQUITY BANCSHARES INC	5760	171214	Market
EQUITY COMWLTH	59760	1976185	Market
EQUITY LIFESTYLE PPTYS INC	138110	1915532	Market
EQUITY ONE	126266	4114255	Market
EQUITY RESIDENTIAL	699393	10866893	Market
ERA GROUP INC	27716	1633213	Market
ERIE INDTY CO	28554	253929	Market
ERIN ENERGY CORP	1542	505545	Market
EROS INTL PLC	11682	895148	Market
ESCALADE INC	4555	345078	Market
ESCO TECHNOLOGIES INC	112268	1981787	Market
ESPERION THERAPEUTICS INC NE	9881	789210	Market
ESPEY MFG & ELECTRS CORP	16	612	Market
ESSA BANCORP INC	4405	280236	Market
ESSENDANT INC	63021	3015336	Market
ESSENT GROUP LTD	72874	2251274	Market
ESSEX PPTY TR INC	522198	2246014	Market
ESTERLINE TECHNOLOGIES CORP	186945	2095801	Market
ETHAN ALLEN INTERIORS INC	81304	2206360	Market
ETSY INC	37026	3143160	Market
EURONAV NV ANTWERPEN	1	169	Market
EURONET WORLDWIDE INC	37357	515766	Market
EURONET WORLDWIDE INC	67	58000	Market
EVANS BANCORP INC	25	793	Market
EVERBANK FINL CORP	62227	3199329	Market
EVERBRIDGE INC	5135	278302	Market
EVERCORE PARTNERS INC	212180	3088507	Market
EVEREST RE GROUP LTD	420837	1944718	Market
EVERI HLDGS INC	363	167464	Market
EVERSOURCE ENERGY	518953	9396208	Market
EVERTEC INC	34434	1939916	Market
EVINE LIVE INC	184	122928	Market
EVOKE PHARMA INC	63	31132	Market
EVOLENT HEALTH INC	7325	494932	Market
EVOLUTION PETROLEUM CORP	8288	828823	Market
EVOLVING SYS INC	112	27384	Market
EXA CORP	6885	448233	Market
EXACT SCIENCES CORP	42442	3176826	Market
EXACTECH INC	9492	347696	Market
EXAR CORP	36181	3356338	Market
EXCO RESOURCES INC	4095	4687284	Market
EXELIXIS INC	166137	11142626	Market
EXELON CORP	612346	17254057	Market
EXLSERVICE HOLDINGS INC	131430	2605661	Market
EXONE CO	3338	357398	Market
EXPEDIA INC DEL	235577	2079596	Market
EXPEDITORS INTL WASH INC	298462	5635616	Market
EXPONENT INC	120896	2004916	Market
EXPRESS INC	67143	6240049	Market
EXPRESS SCRIPTS HLDG CO	627427	9120911	Market
EXTENDED STAY AMER INC	13332	825497	Market
EXTERRAN CORP	65215	2728659	Market
EXTRA SPACE STORAGE INC	308056	3988294	Market
EXTRACTION OIL AND GAS INC	7242	361374	Market
EXTREME NETWORKS INC	16577	3295666	Market
EXXON MOBIL CORP	6181688	68487570	Market
EYEGATE PHARMACEUTICALS INC	17	10352	Market
EZCORP INC	44354	4164656	Market
F M C CORP	140812	2489606	Market
F5 NETWORKS INC	189863	1311932	Market
FABRINET	112763	2798078	Market
FACEBOOK INC	3781733	32870346	Market
FACTSET RESH SYS INC	255208	1561574	Market
FAIR ISAAC CORP	223409	1873926	Market
FAIRMOUNT SANTROL HLDGS INC	37982	3221577	Market
FAIRPOINT COMMUNICATIONS INC	15402	823619	Market
FALCONSTOR SOFTWARE INC	45	99046	Market
FAMOUS DAVES AMER INC	70	14087	Market
FANG HLDGS LTD	4374	1333460	Market
FARMER BROS CO	9498	258802	Market
FARMERS CAP BK CORP	10155	241495	Market
FARMERS NATL BANC CORP	11728	825884	Market
FARMLAND PARTNERS INC	4589	411202	Market
FARO TECHNOLOGIES INC	47352	1315334	Market
FASTENAL CO	244547	5205339	Market
FATE THERAPEUTICS INC	169	67239	Market
FAUQUIER BANKSHARES INC VA	13	831	Market
FB FINL CORP	5597	215687	Market
FBL FINL GROUP INC	24205	309730	Market
FBR & CO	2241	172399	Market
FCB FINL HLDGS INC	44313	928996	Market
FEDERAL AGRIC MTG CORP	16314	284859	Market
FEDERAL MOGUL HOLDINGS CORP	8894	862698	Market
FEDERAL REALTY INVT TR	395666	2784221	Market
FEDERAL SIGNAL CORP	78030	4998718	Market
FEDERATED INVS INC PA	186335	6588929	Market
FEDERATED NATL HLDG CO	8349	446698	Market
FEDEX CORP	723224	3884124	Market
FELCOR LODGING TR INC	33116	4134314	Market
FEMALE HEALTH CO	74	81537	Market
FENIX PTS INC	125	44484	Market
FERRO CORP	35598	2484127	Market
FERROGLOBE PLC	20968	1936134	Market
FIBRIA CELULOSE S A	7605	791336	Market
FIBROCELL SCIENCE INC	40	62925	Market
FIBROGEN INC	52292	2443562	Market
FIDELITY & GTY LIFE	8959	378003	Market
FIDELITY NATIONAL FINANCIAL	125817	3704870	Market
FIDELITY NATIONAL FINANCIAL	27940	2039388	Market
FIDELITY NATL INFORMATION SV	512017	6769129	Market
FIDELITY SOUTHERN CORP NEW	41486	1752702	Market
FIESTA RESTAURANT GROUP INC	64563	2162925	Market
FIFTH STR ASSET MGMT INC	1269	189342	Market
FIFTH THIRD BANCORP	403711	14968884	Market
FINANCIAL ENGINES INC	154587	4206437	Market
FINANCIAL INSTNS INC	15741	460262	Market
FINISAR CORP	106338	3512969	Market
FINISAR CORP	69	58000	Market
FINISH LINE INC	61945	3293205	Market
FINJAN HLDGS INC	24	21628	Market
FIREEYE INC	22651	1903426	Market
FIREEYE INC	105	117000	Market
FIRST ACCEPTANCE CORP	55	52906	Market
FIRST AMERN FINL CORP	160324	4376845	Market
FIRST BANCORP INC ME	11238	339525	Market
FIRST BANCORP N C	17650	650323	Market
FIRST BANCORP P R	66259	10024037	Market
FIRST BANCSHARES INC MS	44	1610	Market
FIRST BANK WILLIAMSTOWN NJ	26	2207	Market
FIRST BUS FINL SVCS INC WIS	6467	272627	Market
FIRST BUSEY CORP	31432	1021197	Market
FIRST CAPITAL INC	20	627	Market
FIRST CMNTY BANCSHARES INC N	15481	513642	Market
FIRST CMNTY CORP S C	33	1814	Market
FIRST CMNTY FINL PARTNERS IN	5116	437245	Market
FIRST COMWLTH FINL CORP PA	99191	6995127	Market
FIRST CONN BANCORP INC MD	10617	468758	Market
FIRST CTZNS BANCSHARES INC N	83804	236069	Market
FIRST DATA CORP NEW	44920	3165593	Market
FIRST DEFIANCE FINL CORP	14749	290672	Market
FIRST FINANCIAL NORTHWEST IN	5098	258265	Market
FIRST FINL BANCORP OH	139841	4915308	Market
FIRST FINL BANKSHARES	233257	5160559	Market
FIRST FINL CORP IND	17650	334284	Market
FIRST FNDTN INC	12419	435764	Market
FIRST HAWAIIAN INC	8458	242909	Market
FIRST HORIZON NATL CORP	190179	9504196	Market
FIRST INDUSTRIAL REALTY TRUS	212714	7583402	Market
FIRST INTERNET BANCORP	5736	179245	Market
FIRST INTST BANCSYSTEM INC	25687	603681	Market
FIRST LONG IS CORP	20252	709359	Market
FIRST MAJESTIC SILVER CORP	86	11258	Market
FIRST MERCHANTS CORP	46431	1233219	Market
FIRST MID ILL BANCSHARES INC	8289	243790	Market
FIRST MIDWEST BANCORP DEL	162194	6428634	Market
FIRST NBC BK HLDG CO	10399	1424517	Market
FIRST NORTHWEST BANCORP	5902	378319	Market
FIRST POTOMAC RLTY TR	21546	1964108	Market
FIRST REP BK SAN FRANCISCO C	166713	1809349	Market
FIRST SAVINGS FINL GROUP INC	10	214	Market
FIRST SOLAR INC	51685	1610619	Market
FIRST SOUTH BANCORP INC VA	477	39909	Market
FIRST US BANCSHARES INC	258	23239	Market
FIRST UTD CORP	310	19415	Market
FIRSTCASH INC	182679	3886787	Market
FIRSTENERGY CORP	359541	11609345	Market
FISERV INC	533100	5015998	Market
FITBIT INC	9919	1355002	Market
FIVE BELOW INC	167523	4192265	Market
FIVE OAKS INVT CORP	200	40276	Market
FIVE PRIME THERAPEUTICS INC	61029	1217898	Market
FIVE STAR QUALITY CARE INC	197	72805	Market
FIVE9 INC	15146	1067388	Market
FLAGSTAR BANCORP INC	18113	672360	Market
FLAMEL TECHNOLOGIES SA	5875	565440	Market
FLANIGANS ENTERPRISES INC	5	198	Market
FLEETCOR TECHNOLOGIES INC	137403	970911	Market
FLEX LTD	14495	1008668	Market
FLEX PHARMA INC	1799	340749	Market
FLEXION THERAPEUTICS INC	23445	1232630	Market
FLEXSTEEL INDS INC	13093	212306	Market
FLIR SYS INC	87475	2417116	Market
FLOTEK INDS INC DEL	41476	4417077	Market
FLOWERS FOODS INC	142229	7122129	Market
FLOWSERVE CORP	107961	2246853	Market
FLUIDIGM CORP DEL	6504	893432	Market
FLUOR CORP NEW	136937	2607324	Market
FLUSHING FINL CORP	26930	916293	Market
FMC TECHNOLOGIES INC	168342	4738015	Market
FNB CORP PA	261273	16299033	Market
FOAMIX PHARMACEUTICALS LTD	5681	511799	Market
FOGO DE CHAO INC	2457	171242	Market
FONAR CORP	337	17601	Market
FOOT LOCKER INC	191177	2696809	Market
FORD MTR CO DEL	646293	53280508	Market
FOREST CITY RLTY TR INC	72662	3486673	Market
FOREST CITY RLTY TR INC	18	660	Market
FORESTAR GROUP INC	33112	2489629	Market
FORM HLDGS CORP	7	3351	Market
FORMFACTOR INC	24993	2231509	Market
FORRESTER RESH INC	34398	800881	Market
FORTERRA INC	11826	545966	Market
FORTINET INC	178143	5914456	Market
FORTIVE CORP	221612	4132235	Market
FORTRESS BIOTECH INC	2952	1093443	Market
FORTUNE BRANDS HOME & SEC IN	159198	2977883	Market
FORUM ENERGY TECHNOLOGIES IN	45869	2084950	Market
FORWARD AIR CORP	111083	2344511	Market
FORWARD INDS INC N Y	4	3082	Market
FOSSIL GROUP INC	65540	2534407	Market
FOSTER L B CO	340	25017	Market
FOUNDATION MEDICINE INC	15791	892144	Market
FOUR CORNERS PPTY TR INC	72571	3536608	Market
FOX FACTORY HLDG CORP	56861	2049051	Market
FRANCESCAS HLDGS CORP	54138	3002664	Market
FRANCO NEVADA CORP	7897	132146	Market
FRANKLIN COVEY CO	6838	339356	Market
FRANKLIN ELEC INC	126239	3245225	Market
FRANKLIN FINL NETWORK INC	15326	366208	Market
FRANKLIN RES INC	201215	5083744	Market
FRANKLIN STREET PPTYS CORP	109474	8447103	Market
FRANKS INTL N V	7433	603849	Market
FREDS INC	54422	2932227	Market
FREEPORT-MCMORAN INC	323815	24550014	Market
FREIGHTCAR AMER INC	6014	402844	Market
FREQUENCY ELECTRS INC	225	20824	Market
FRESH DEL MONTE PRODUCE INC	62144	1024978	Market
FRESHPET INC	7298	719039	Market
FRIEDMAN INDS INC	207	31094	Market
FRONTIER COMMUNICATIONS CORP	92642	27408865	Market
FRONTIER COMMUNICATIONS CORP	140606	1978133	Market
FRONTLINE LTD	14013	1970836	Market
FRP HLDGS INC	7889	209265	Market
FS BANCORP INC	23	626	Market
FTD COS INC	34635	1452810	Market
FTI CONSULTING INC	114681	2543934	Market
FUEL TECH INC	55	47835	Market
FUELCELL ENERGY INC	1670	954186	Market
FULGENT GENETICS INC	382	33013	Market
FULL HOUSE RESORTS INC	125	52268	Market
FULLER H B CO	198130	4101217	Market
FULTON FINL CORP PA	201094	10696481	Market
FUNCTIONX INC NEW	0	55	Market
FUSION TELECOMM INTL INC	3	2186	Market
FUTUREFUEL CORPORATION	27463	1975764	Market
FXCM INC	110	15632	Market
G & K SVCS INC	146719	1521194	Market
G-III APPAREL GROUP LTD	103752	3509871	Market
GAIA INC NEW	2165	250264	Market
GAIN CAP HLDGS INC	8308	1262601	Market
GALECTIN THERAPEUTICS INC	80	81235	Market
GALENA BIOPHARMA INC	683	351882	Market
GALLAGHER ARTHUR J & CO	344958	6638909	Market
GAMCO INVESTORS INC	3983	128957	Market
GAMESTOP CORP NEW	103211	4085958	Market
GAMING & LEISURE PPTYS INC	89675	2928642	Market
GAMING PARTNERS INTL CORP	10	825	Market
GANNETT CO INC	92436	9519680	Market
GAP INC DEL	94798	4224531	Market
GARMIN LTD	330353	6812799	Market
GARTNER INC	405031	4007429	Market
GAS NAT INC	456	36370	Market
GASLOG LTD	19913	1236838	Market
GASTAR EXPL INC NEW	629	405738	Market
GATX CORP	150694	2447125	Market
GCP APPLIED TECHNOLOGIES INC	59573	2227041	Market
GEE GROUP INC	3	802	Market
GEMPHIRE THERAPEUTICS INC	56	7131	Market
GENCO SHIPPING & TRADING LTD	44	6001	Market
GENCOR INDS INC	4035	257017	Market
GENER8 MARITIME INC	5840	1303569	Market
GENERAC HLDGS INC	81111	1990941	Market
GENERAL CABLE CORP DEL NEW	75351	3955418	Market
GENERAL COMMUNICATION INC	62569	3216920	Market
GENERAL DYNAMICS CORP	796826	4615001	Market
GENERAL ELECTRIC CO	3753137	118770156	Market
GENERAL FIN CORP DEL	154	27833	Market
GENERAL GROWTH PPTYS INC NEW	436378	17469089	Market
GENERAL MLS INC	857473	13881705	Market
GENERAL MOLY INC	7	26705	Market
GENERAL MTRS CO	679709	19509449	Market
GENESCO INC	103988	1674523	Market
GENESEE & WYO INC	163144	2350446	Market
GENESIS HEALTHCARE INC	5229	1230344	Market
GENIE ENERGY LTD	2462	428197	Market
GENMARK DIAGNOSTICS INC	18275	1493076	Market
GENOCEA BIOSCIENCES INC	256	62149	Market
GENOMIC HEALTH INC	30093	1023933	Market
GENPACT LIMITED	37685	1548266	Market
GENTEX CORP	216742	11007734	Market
GENTHERM INC	98651	2914356	Market
GENUINE PARTS CO	505437	5290318	Market
GENVEC INC	1	448	Market
GENWORTH FINL INC	100448	26364367	Market
GEO GROUP INC NEW	228569	6361518	Market
GEORGETOWN BANCORP INC MD	6	222	Market
GEOSPACE TECHNOLOGIES CORP	21840	1072690	Market
GERDAU S A	7660	2439467	Market
GERMAN AMERN BANCORP INC	24619	467957	Market
GERON CORP	14683	7093276	Market
GETTY RLTY CORP NEW	54540	2139663	Market
GEVO INC	11	63371	Market
GIBRALTAR INDS INC	100560	2414415	Market
GIGA TRONICS INC	1	905	Market
GIGAMON INC	46617	1023427	Market
GIGPEAK INC	4884	1938252	Market
GILEAD SCIENCES INC	2041550	28509283	Market
GLACIER BANCORP INC NEW	224249	6189600	Market
GLADSTONE COML CORP	15168	754639	Market
GLADSTONE LD CORP	316	28103	Market
GLATFELTER	84109	3520674	Market
GLAUKOS CORP	16987	495245	Market
GLEN BURNIE BANCORP	7	598	Market
GLOBAL BLOOD THERAPEUTICS IN	14598	1010270	Market
GLOBAL BRASS & COPPR HLDGS I	23371	681362	Market
GLOBAL EAGLE ENTMT INC	9178	1420773	Market
GLOBAL INDTY LTD CAYMAN	10006	261859	Market
GLOBAL MED REIT INC	4475	501628	Market
GLOBAL NET LEASE INC	41726	5328993	Market
GLOBAL PMTS INC	186111	2681322	Market
GLOBAL SELF STORAGE INC	92	19260	Market
GLOBAL SOURCES LTD	2395	270669	Market
GLOBAL WTR RES INC	2359	259190	Market
GLOBALSCAPE INC	172	42166	Market
GLOBALSTAR INC	46969	29726970	Market
GLOBANT S A	29679	889937	Market
GLOBUS MED INC	108962	4391858	Market
GLOWPOINT INC	1	4185	Market
GLU MOBILE INC	6622	3413366	Market
GLYCOMIMETICS INC	2427	397828	Market
GMS INC	6218	212370	Market
GNC HLDGS INC	22950	2078785	Market
GODADDY INC	16306	466559	Market
GOGO INC	15494	1680435	Market
GOGO INC	44	58000	Market
GOLAR LNG LTD BERMUDA	65985	2876433	Market
GOLD FIELDS LTD NEW	194	64506	Market
GOLD RESOURCE CORP	7041	1618653	Market
GOLDCORP INC NEW	8611	633186	Market
GOLDEN ENTMT INC	4250	350983	Market
GOLDEN MINERALS CO	15	25284	Market
GOLDFIELD CORP	316	61991	Market
GOLDMAN SACHS GROUP INC	1247617	5210344	Market
GOOD TIMES RESTAURANTS INC	107	34123	Market
GOODYEAR TIRE & RUBR CO	146616	4749468	Market
GOPRO INC	27629	3172112	Market
GORDMANS STORES INC	15	22388	Market
GORMAN RUPP CO	16304	526796	Market
GOVERNMENT PPTYS INCOME TR	75283	3948769	Market
GP STRATEGIES CORP	11716	409640	Market
GPO AEROPORTUARIO DEL PAC SA	18319	222000	Market
GRACE W R & CO DEL NEW	55425	819411	Market
GRACO INC	177095	2131365	Market
GRAHAM CORP	6947	313621	Market
GRAHAM HLDGS CO	93554	182741	Market
GRAINGER W W INC	232886	1002737	Market
GRAMERCY PPTY TR	141867	15453886	Market
GRAN TIERRA ENERGY INC	374	123717	Market
GRAND CANYON ED INC	79294	1356609	Market
GRANITE CONSTR INC	126969	2308524	Market
GRAPHIC PACKAGING HLDG CO	43505	3486009	Market
GRAY TELEVISION INC	20852	1921853	Market
GREAT AJAX CORP	11156	840669	Market
GREAT ELM CAP GROUP INC	110	29256	Market
GREAT LAKES DREDGE & DOCK CO	8197	1951698	Market
GREAT PLAINS ENERGY INC	317522	11609585	Market
GREAT SOUTHN BANCORP INC	19268	352575	Market
GREAT WESTN BANCORP INC	203481	4668072	Market
GREEN BANCORP INC	10456	687886	Market
GREEN BRICK PARTNERS INC	7765	772597	Market
GREEN DOT CORP	81696	3469044	Market
GREEN PLAINS INC	81690	2933213	Market
GREENBRIER COS INC	93703	2255177	Market
GREENE COUNTY BANCORP INC	2125	92812	Market
GREENHILL & CO INC	63349	2286974	Market
GREENLIGHT CAPITAL RE LTD	20628	904716	Market
GREIF INC	80914	1576969	Market
GREIF INC	11738	173774	Market
GRIFFIN INL RLTY INC	869	27376	Market
GRIFFON CORP	60643	2314623	Market
GRIFOLS S A	32781	2039868	Market
GROUP 1 AUTOMOTIVE INC	128473	1648355	Market
GROUPON INC	12699	3825121	Market
GRUBHUB INC	93677	2490083	Market
GRUPO AEROPORTUARIO CTR NORT	800	23160	Market
GRUPO AEROPORTUARIO DEL SURE	17370	120714	Market
GRUPO FINANCIERO GALICIA S A	12910	479556	Market
GRUPO SUPERVIELLE S A	2278	173352	Market
GSE SYS INC	161	46075	Market
GSI TECHNOLOGY	248	39992	Market
GTT COMMUNICATIONS INC	24286	844715	Market
GTX INC DEL	7	1343	Market
GUARANTY BANCORP DEL	13697	565975	Market
GUARANTY FED BANCSHARES INC	17	825	Market
GUESS INC	104610	8645461	Market
GUIDANCE SOFTWARE INC	5162	729143	Market
GUIDEWIRE SOFTWARE INC	43649	884827	Market
GULF ISLAND FABRICATION INC	8930	750389	Market
GULFMARK OFFSHORE INC	97	55242	Market
GULFPORT ENERGY CORP	130344	6023276	Market
GW PHARMACEUTICALS PLC	29513	264098	Market
GWG HLDGS INC	1	186	Market
GYRODYNE LLC	46	2522	Market
H & E EQUIPMENT SERVICES INC	21985	945576	Market
HABIT RESTAURANTS INC	7494	434406	Market
HACKETT GROUP INC	12878	729199	Market
HAEMONETICS CORP	166324	4137423	Market
HAIN CELESTIAL GROUP INC	156199	4002035	Market
HALCON RES CORP	110	11817	Market
HALLADOR ENERGY COMPANY	340	37364	Market
HALLIBURTON CO	708648	13101279	Market
HALLMARK FINL SVCS INC    EC	5497	472624	Market
HALOZYME THERAPEUTICS INC	50302	5091303	Market
HALYARD HEALTH INC	105661	2857249	Market
HAMILTON BANCORP INC MD	11	790	Market
HANCOCK HLDG CO	213249	4947781	Market
HANDY & HARMAN LTD	2421	94770	Market
HANESBRANDS INC	139868	6484390	Market
HANMI FINL CORP	89367	2560651	Market
HANNON ARMSTRONG SUST INFR C	46764	2462573	Market
HANOVER INS GROUP INC	155422	1707749	Market
HARBORONE BANCORP INC	9407	486415	Market
HARDINGE INC	4357	393200	Market
HARLEY DAVIDSON INC	180118	3087378	Market
HARMAN INTL INDS INC	134584	1210725	Market
HARMONIC INC	32352	6470327	Market
HARRIS CORP DEL	241447	2356272	Market
HARSCO CORP	86779	6380782	Market
HARTE-HANKS INC	195	128930	Market
HARTFORD FINL SVCS GROUP INC	332027	6968029	Market
HARVARD BIOSCIENCE INC	319	104579	Market
HARVEST NATURAL RESOURCES IN	136	22018	Market
HASBRO INC	150604	1936031	Market
HAVERTY FURNITURE INC	37472	1581080	Market
HAWAIIAN ELEC INDUSTRIES	145452	4398300	Market
HAWAIIAN HOLDINGS INC	233640	4098940	Market
HAWAIIAN TELCOM HOLDCO INC	5058	204100	Market
HAWKINS INC	42113	780586	Market
HAWTHORN BANCSHARES INC	28	1558	Market
HAYNES INTERNATIONAL INC	44929	1045110	Market
HC2 HLDGS INC	6607	1114195	Market
HCA HOLDINGS INC	314324	4246475	Market
HCI GROUP INC	26295	666046	Market
HCP INC	451113	15178785	Market
HD SUPPLY HLDGS INC	88150	2073625	Market
HDFC BANK LTD	17812	293548	Market
HEADWATERS INC	133846	5690730	Market
